"game_name","possessed","wishlisted","image_url","duration","nb_min_player","nb_max_player","summary","tags_gameplay","tags_univers","rules","prix_philibert","prix_amazon","lien_philibert","lien_amazon","note_bgg","rules_pdf_url"
"Ark Nova","Non","Oui","","120 mn","1","4","Dans Ark Nova, vous êtes chargé de concevoir et de gérer un zoo moderne à vocation scientifique. Votre objectif est de construire des enclos, d'héberger diverses espèces animales, d'engager des spécialistes et de soutenir des projets de conservation pour accumuler des points de réputation et de conservation. Le jeu offre une expérience stratégique profonde, combinant gestion de main, placement de tuiles et développement de moteur.","Stratégie, Gestion de main, Placement de tuiles, Développement de moteur, Jeu expert, Solo, Compétitif","Animaux, Nature, Conservation, Écologie, Moderne, Réaliste","Choisis une des 5 actions pour construire ton zoo : animaux, enclos, partenariats, projets, cartes.

Ton plateau d’actions évolue : plus tu attends pour jouer une action, plus elle est forte.

Objectif : croiser la piste de conservation et la piste d’attrait pour déclencher la fin de partie.","69,90 €","67,94 €","https://www.philibertnet.com/fr/super-meeple/105162-ark-nova-3770023051064.html","https://www.amazon.fr/Feuerland-Spiele-Ark-Nova-soci%C3%A9t%C3%A9/dp/B09L6FCP9S/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3K3QYJLY55LG9&dib=eyJ2IjoiMSJ9.-sCMXjocOOU1YdJlKo5OE9TldkmbnkZLjXKCWPT5R0TVhd8CzKkXZqLvMpZoiTxm2e2w5OVNXg59rvExsOdGSCym2iOi9KcBcqtaSdeCoNssOfBlCB3-wh_au9JiaWOs5tiXI6TaUsVQWiWtV_0B1uimYJsyeI4_NCOKWGOEPz9Cy81B1Oa3d0_MSN77AR1Rk2J-t5_AIO1Np4TUfS1EWIla9zUPkrmpN3PYowpbMMtiKkRQGtCL-9NRHwfZ3STsvvz-ccV3UIkoR0sNIUkV0ofF1OgKUtT_RpJtdKRBhu8.t53il1sZRxWCz7I3FHLDgJ2RH4iNE0pIIfHikpthXdQ&dib_tag=se&keywords=Ark+Nova&qid=1744480909&s=toys&sprefix=ark+nova%2Ctoys%2C92&sr=1-1","8,5",""
"Pandemic","Non","Oui","","45 mn","2","4","Dans Pandemic, vous incarnez une équipe de spécialistes luttant contre la propagation de quatre maladies mortelles à travers le monde. En coopérant efficacement, vous devrez découvrir les remèdes avant que les épidémies ne deviennent incontrôlables. Chaque joueur possède un rôle unique avec des capacités spécifiques, rendant la coordination essentielle pour la victoire.​","Coopératif, Stratégie, Gestion de main, Déplacement sur plateau, Gestion de crise, Jeu familial, Tension croissante","Contemporain, Science, Santé publique, Urgence mondiale, Ambiance réaliste","Les joueurs coopèrent pour soigner et éradiquer 4 maladies à travers le monde.

À ton tour : déplace-toi, soigne, échange des cartes, construis un labo ou découvre un remède.

Les épidémies accélèrent la propagation : coordination vitale pour gagner ensemble.","37,90 €","31,50 €","https://www.philibertnet.com/fr/zman-games/23050-pandemie-8435407620155.html?search_query=Pandemic&results=56#img","https://www.amazon.fr/Z-Man-Games-Coop%C3%A9ratif-%C3%89pid%C3%A9mies-Fran%C3%A7aise/dp/B07JLXMRXK/ref=sr_1_1_sspa?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2LCQH8NPGCSRM&dib=eyJ2IjoiMSJ9.YMXbNwKeqpMfiTfA7aQ8D0vlMXBRJ7JnIDWZdOs7zeXMAD93vfQd6eEbD7q6ROmTb0Tn2pH_oQwRKmNdXovnKmtgxQk1c_sYgvE6p9tGDlY3UupNwb4fVaamiP-QWAIITwqdIKO3l-CcgEG5X28R2xM73n5Z0S8KtWyT-WXWp_o8dPnMK-k7Ky3tL2QyZDc0ahDy0YwpV6YNVFQgux7cSkp5-dyzjFRuQ6ywfMwwKFFJHaFAwyMcs1zGx98GEaQD1NYa9SOzOEVcTTJr4GMFsNcpcQE3j9LSGrM73bCO_cs.1e8DMQIbbpViPqf-XB_MTGMeC8UUPPzxOEbZQKxcU9w&dib_tag=se&keywords=Pandemic&qid=1744481006&s=toys&sprefix=pandemic%2Ctoys%2C95&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1","7,4",""
"Pandemic Legacy Saison 1","Non","Oui","","60 mn","2","4","Dans Pandemic Legacy : Saison 1, vous incarnez une équipe d'élite combattant la propagation de quatre maladies mortelles à travers le monde. Le jeu se déroule sur une année, chaque mois apportant de nouveaux défis et événements qui modifient durablement le plateau et les règles. Vos décisions ont des conséquences permanentes, rendant chaque campagne unique et immersive.​","Coopératif, Campagne évolutive, Gestion de main, Stratégie, Narratif, Legacy, Tension croissante","Contemporain, Science, Santé publique, Urgence mondiale, Ambiance réaliste","Reprend les règles de Pandemic, mais avec une évolution narrative mois par mois.

Ajoute des stickers, ouvre des boîtes secrètes et modifie définitivement le plateau.

Chaque décision change le cours de la campagne.","96,50 €","91,68 €","https://www.philibertnet.com/fr/zman-games/38011-pandemic-legacy-season-1-blue-edition-681706711706.html","https://www.amazon.fr/Z-Man-Games-Pandemic-Players-Minutes/dp/B00TQ5SEAI/ref=sr_1_1?crid=3OFFWLZNGMBYA&dib=eyJ2IjoiMSJ9.GbSFQp8LsyssKMXaFr8Cmo7T2kashEXD6U9rIuASQ7sEo39mmvDQKBZsb5mImirvlPOGhvp3Yy-MsePfGSGw4Tp2uZp8t4FHDpeLJKPm949OIFAgD4lLKdvbjk2A6mLf9GA1bdlxDH6mkAcyDFH51VN8w2Tqrvwn-V62ns7IqDD-egDhyT_OjEPaxiBumYF6oyzqa34rFhJ0cyBIzKo70fk0EljtYLhIGD7CjOuMzOXjUNAZkTrHWYmkHQCJf_et6nQpwukPtkNglaQb-MonUr8_A4XV3mgTCNYIpsiuDsk.lqZHppd1crsxeLmbMo6ptVOaJUB7R2Xervr06MP_Ef0&dib_tag=se&keywords=pandemic%2Blegacy%2Bseason%2B1&qid=1744481118&s=toys&sprefix=Pandemic%2Ctoys%2C182&sr=1-1&th=1","8,5",""
"Regicide","Non","Oui","","20 mn","1","4","Dans Regicide, vous incarnez une équipe de héros s'attaquant à une monarchie corrompue. À l'aide d'un simple jeu de 54 cartes, vous affrontez successivement les Valets, Dames et Rois, chacun représentant un ennemi redoutable. Chaque carte jouée inflige des dégâts, mais attention : les ennemis ripostent, et une mauvaise gestion de votre main peut entraîner la défaite de tout le groupe.","Coopératif, Gestion de main, Communication restreinte, Stratégie, Jeu de cartes, Solo","Fantasy, Médiéval, Héroïque, Abstrait","Utilise les cartes d’un jeu classique pour attaquer les figures royales (valets, dames, rois).

Chaque couleur de carte a un effet spécial (soin, blocage, boost…).

Attention à ne pas vider ta pioche ou perdre tous les héros : coop ou solo tendu.","11,50 €","11,50 €","https://www.philibertnet.com/fr/iello/139499-regicide-3701551703071.html","https://www.amazon.fr/IELLO-IEL70307-Regicide/dp/B0DR34V8MC/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=TBL4FL4F126F&dib=eyJ2IjoiMSJ9.EEERiayEkR4hguNjp0qWPGwA2GlKG-9M3f6x1OpNbcTGjHj071QN20LucGBJIEps.gUnGHN57LlNljgzPn8Puo6f4eG9f0UhMeuOSCoqzrUM&dib_tag=se&keywords=regicide&qid=1744481355&s=toys&sprefix=regicide%2Ctoys%2C83&sr=1-1","7,4",""
"Aventuriers du Rail : Légendes de L'Ouest","Non","Oui","","90 mn","2","5","Dans Les Aventuriers du Rail Legacy : Légendes de l'Ouest, vous dirigez votre propre compagnie ferroviaire en Amérique du Nord à la fin du XIXᵉ siècle. Au fil d'une campagne narrative de 12 parties, vous construisez des lignes de chemin de fer, relevez des défis inattendus et découvrez de nouveaux éléments de jeu qui modifient le plateau et les règles. Vos décisions influencent durablement l'évolution de votre compagnie et l'expérience de jeu.​","Stratégie, Gestion de ressources, Placement de tuiles, Développement de réseau, Campagne évolutive, Legacy, Compétitif","Historique, Ferroviaire, Conquête de l'Ouest, Amérique du Nord, Expansion industrielle","Place tes wagons pour relier les villes et compléter tes tickets.

La campagne ajoute des objectifs secrets, des règles évolutives, et une narration.

Chaque partie change le plateau et les conditions de victoire.","99,95 €","79,99 €","https://www.philibertnet.com/fr/days-of-wonder/127884-les-aventuriers-du-rail-legacy-legendes-de-louest-824968202364.html","https://www.amazon.fr/Aventuriers-Rail-Legacy-Ferroviaire-Compagnie/dp/B0CG2HMN4L/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2L3JAJCEM8PBO&dib=eyJ2IjoiMSJ9.-V1rhWSOLeuso5zwiZhcMu2UCXUh9VMwP5DbyhBJzaVnzPbaixjlql7zr46nxFkNnKWAt9DucuBMjSMhXp7To_7Q3mfiYzbRO0HtnbKWSRLwPz-FPYp6bGvZqsToWm4ucXYe8YrpER_DcZ3SNh_PUacaISnzSR3h2QiB7kcWUa84UnijZfhQdPe_-Y5YF3gC99CZHijgiFJvNoDQyFEgMXQV-kIOuA4gkiFTUJVZIFNmwYB2S0Ov7AROFwMZtYqB_Q8Yoh5su5uQSTarGE8AfU_z6HgfwPt3y0ygsXXxP3U.2d2LZhSB4MBOBD1yq6AxPGG4hCXI0ABI5At7CediVPU&dib_tag=se&keywords=aventuriers+du+rail+legendes+de+l%27ouest&qid=1744481468&s=toys&sprefix=aventuriers+du+rail+legendes+de+l%27ouest%2Ctoys%2C71&sr=1-1","",""
"Aventuriers du Rail Europe 15th Anniversary","Oui","Non","","45 mn","2","5","Cette édition spéciale célèbre les 15 ans du célèbre jeu de stratégie ferroviaire. Elle offre une expérience enrichie avec un plateau surdimensionné, des wagons et gares finement sculptés rangés dans des boîtes en métal, ainsi que l'intégralité des cartes Destination publiées à ce jour. Les joueurs s'affrontent pour construire le réseau ferroviaire le plus étendu à travers l'Europe, en reliant des villes emblématiques et en accomplissant des objectifs secrets.​","Stratégie, Collection, Placement de tuiles, Objectifs secrets, Compétitif, Familial","Historique, Ferroviaire, Europe de la Belle Époque, Voyage​","Pioche des cartes wagon pour construire des trajets entre les villes.

Utilise des gares pour emprunter des trajets adverses, tunnels pour plus de tension.

Plus le trajet est long, plus il rapporte de points.","NaN","99,95 €","","https://www.amazon.fr/Ticket-Ride-Europe-15th-Anniversary/dp/B08V5LNFGG/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1ZCH7GLZM7J9M&dib=eyJ2IjoiMSJ9.xffCGHDoRzR-KJ1xlr87CmvQ6fTElZRZi574pdZRwwzMHL6L7WjwlzBwr-MW_FoEe1aq0VULO4KksqiMfZFiF1sL2cmIjGEIIknn9boRjpt_SMWFqIVMwgpmCsH0xpxh06h3YyGbNx5FxyeNrgiqThoieqbJmZVspabDxWiQScwGXI9YHUELyzWBEf02AwDG-YAjN7CFkzbJLwruSo2BbvC9KnHzsm4wg-uo2zzaGIXBJTz7cUUO9hqD4eVtibwiF7Gyi0zgoIq0RxDigEqHGjYdKiB7TQbfQ0h6VS0Vsa0.SkhgfsKANgGd7g4sdNhAPgmXXWFZM8xQjdgWBQmwBHw&dib_tag=se&keywords=aventuriers%2Bdu%2Brail%2Beurope%2B15th%2Banniversary&qid=1744481658&s=toys&sprefix=aventuriers%2Bdu%2Brail%2Beurope%2B15th%2Banniversari%2Ctoys%2C71&sr=1-1&th=1","8,2",""
"7 Wonders","Oui","Non","","30 mn","2","7","Dans 7 Wonders, vous prenez la tête d'une des sept grandes cités du monde antique. Votre objectif est de développer votre civilisation en exploitant les ressources naturelles, en établissant des relations commerciales, en faisant progresser la science, en renforçant votre puissance militaire et en construisant des structures prestigieuses, y compris la merveille qui donnera son nom à votre cité. Le jeu se déroule en trois âges, chacun représentant une période de développement, où les joueurs sélectionnent simultanément des cartes pour bâtir leur civilisation.​","Stratégie, Draft de cartes, Développement de civilisation, Gestion de ressources, Compétitif, Interaction indirecte, Simultanéité des actions","Antiquité, Civilisation, Historique, Merveilles du monde​","À chaque tour, choisis une carte parmi celles disponibles, puis passe le reste.

Développe ta civilisation en science, commerce, militaire ou constructions civiles.

Les âges s’enchaînent rapidement, stratégie et anticipation sont clés.","42,95 €","34,36 €","https://www.philibertnet.com/fr/repos-productions/89182-7-wonders-nouvelle-edition-5425016923764.html?search_query=7+wonders&results=68#img","https://www.amazon.fr/Asmodee-SHERLOCK-DETECTIVE-Meurtres-Enqu%C3%AAtes/dp/B08G4RBQY4/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=25RXY3SOWOLSP&dib=eyJ2IjoiMSJ9.2BodDLvOPe7-1hetFTl37HtE7gxu6daNGllNMpVTK2gCrpZ_AdVmXKOyt2C63ZonO18C-e0o1ETa9sapr_NzZGAi2l902cZtWljXP-pA0UtaDqYLssoLwQoYUr_ypviV4NM5Xr1CiPt_xBzPiGbDK6DAnAV8LBHEF9YN0vDh2Q5eGgplVo9YGJb15zZmiF2u5GpN_AyY6kdHKxBVB1owZN6rQvCgaeGX4l8Hxth_ioud0LvgLzk_STtB-cEi_yxli6P0lgIPNPti-YyhVElY44PWM1_XOV1nlruh2HqImUw.dYc8mhd8PA7tTdqAJMHs0UdDbt-6WgOFoXmNiqo8_RQ&dib_tag=se&keywords=7%2BWOnders&qid=1744481790&s=toys&sprefix=7%2Bwonders%2Ctoys%2C92&sr=1-2&th=1","7,7",""
"Wyrmspan","Oui","Non","","90 mn","1","5","Dans Wyrmspan, vous incarnez un dracologue amateur explorant un réseau de cavernes pour y attirer et héberger des dragons majestueux. En construisant votre sanctuaire, vous devrez gérer vos ressources et développer des stratégies pour créer le refuge le plus accueillant pour ces créatures légendaires.","Stratégie, Construction de moteur, Gestion de ressources, Placement de cartes, Solo, Compétitif","Fantasy, Dragons, Exploration souterraine, Merveilleux","Joue des dragons dans trois types de grottes et active des effets en cascade.

Optimise ton moteur en plaçant tes dragons et améliorant tes capacités.

Gagne des points en accomplissant des objectifs, en couvant des œufs et en explorant.","61,90 €","59,99 €","https://www.philibertnet.com/fr/matagot/132932-wyrmspan-3760372233013.html","https://www.amazon.fr/Matagot-Wyrmspan-Soci%C3%A9t%C3%A9-Joueurs-Fran%C3%A7aise/dp/B0D4F22NHL/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=GEWR0934CJT&dib=eyJ2IjoiMSJ9.me8d8uoBqYPr5JwmNhXjXGw10M0fm1dqBCRFODNsLn7M_3GCCYUVCQqhWv6BlAfrpYGMBOYl0NCk7ifQCHBzAsCOnCqSoJuEYOJHr_hvxjfmCPl2vtXO_1UCpvLNKK2r38sGow_2K9xSVTCUx6CNx7pJViq8zLY6xemFIpLhzDY6stU1Gc5BGyG-aetq0wbQjvaZhCrSFN8UXUGQYosloS2V2_JhUqxr01wib1Pp4NQ.0DQyGGtljzWvHSXv5LZAItX1NNE0JzZuMQC7d3kmXwA&dib_tag=se&keywords=wyrmspan&qid=1744481935&s=toys&sprefix=wyrmspan%2Ctoys%2C84&sr=1-4","8",""
"Hanabi","Oui","Non","","25 mn","2","5","Dans Hanabi, vous incarnez des artificiers chargés de créer un feu d'artifice spectaculaire. L'originalité du jeu réside dans le fait que vous ne voyez pas vos propres cartes, mais uniquement celles des autres joueurs. En donnant des indices limités sur la couleur ou la valeur des cartes, vous devez coopérer pour jouer les cartes dans le bon ordre et éviter les erreurs.​","Coopératif, Déduction, Communication restreinte, Gestion de main, Jeu de cartes, Stratégie légère, Observation","Feu d'artifice, Ambiance zen, Esthétique japonaise, Minimaliste","Tu ne vois pas tes cartes : tu donnes des indices aux autres sur les leurs.

Objectif : jouer les feux d’artifice dans l’ordre croissant de chaque couleur.

Coopération et mémoire sont clés pour éviter les erreurs et atteindre le score parfait.","11,95 €","9,29 €","https://www.philibertnet.com/fr/cocktail-games/14204-hanabi-3760052143847.html","https://www.amazon.fr/Asmodee-Cocktail-Games-Hanabi-Coop%C3%A9ratif/dp/B0CK1CR4RQ/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2YRZRV9WJDMR7&dib=eyJ2IjoiMSJ9.8RjkTPRkSTSHoTSMy37BsZq3Q3Gj3oSn8VG-Qn7HDgxMio4JCQ3FQRMbItjJXiSZmz-6Z8JYKOsguLTcY-Es7erFO-eqnSME3cxCvh7fyK-nfwObwC0hHKk4iZrQaT_-Ie7fWHGsUVUi2uNGySddL1sg-yItU-LpZzh0DJDJsKoBnZ1F0HHft_9hqUFF0GwaA9U1c82Jjy9Z-V_rbON0bdeSDpED6jvmufebN64-zxqlHnHA1pCGoYnkLGjehtXSUBHDroS3r6WA4gQPKyvndDsUNBP9l4IHDyowhBF3ru8.Q-uVSivvakaE39Mj8Aas2qaH2b9iTTkGEKZXOMlWj4I&dib_tag=se&keywords=hanabi&qid=1744481994&s=toys&sprefix=hanabi%2Ctoys%2C81&sr=1-1&th=1","7",""
"6 qui prend","Oui","Non","","45 mn","2","10","Dans 6 qui prend !, chaque joueur tente de se débarrasser de ses cartes numérotées en les plaçant judicieusement dans des rangées. Mais attention : si vous êtes contraint de poser la sixième carte d'une rangée, vous ramassez toutes les cartes précédentes, accumulant ainsi des points de pénalité représentés par des têtes de bœuf. Le but est d'avoir le moins de points possible à la fin de la partie.​","Compétitif, Jeu de cartes, Stratégie légère, Anticipation, Interaction indirecte, Ambiance","Abstrait, Humoristique, Minimaliste","Joue simultanément une carte, elles s’ajoutent aux lignes existantes selon l’ordre croissant.

Si ta carte est la 6ᵉ d’une ligne, tu prends les 5 précédentes et leurs points de malus.

Le joueur avec le moins de têtes de bœuf à la fin gagne.","19,95 €","18,90 €","https://www.philibertnet.com/fr/gigamic/134076-6-qui-prend-edition-30-ans-3421272888115.html?search_query=6+qui+prend&results=597#img","https://www.amazon.fr/Gigamic-Six-Qui-Prend-Anniversaire/dp/B0CWVK824X/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1TEFO5DDK79V0&dib=eyJ2IjoiMSJ9.ddqzHBR682QHL0AJAP80GuGPptwjN8TboEtQeD8frqlBTzT9tlizuDhsEvy3l_A79EIsRse4SaUmuL6uqMVhfCiunDzmVrKt4QAMt3_C2stINUR9P6dBGztjzYg44Q5vro1UcYiGUF0keNJ89fOrMMmSNmUp9fB5Ml8BZ1SAxdb_HDN0TWWhd9sgSVzqyfKy5lsBctEgvnSWtf98bkRW30CCZJiacDLHgF7rSOIYFSo.Ir5wvbdP-cVQ-CH6axD0D5WvyWZ0Bz8QC1mw4zgXBYY&dib_tag=se&keywords=6%2Bqui%2Bprend&qid=1744482096&s=toys&sprefix=6%2Bqui%2Bprend%2Ctoys%2C85&sr=1-4&th=1","7",""
"Citadelles","Oui","Non","","40 mn","2","8","Dans Citadelles, chaque joueur incarne un bâtisseur rival cherchant à ériger la cité la plus prestigieuse. À chaque tour, vous choisissez secrètement un personnage doté d'un pouvoir unique, influençant la construction de votre cité ou perturbant les plans de vos adversaires. Le jeu mêle stratégie, bluff et anticipation, offrant une expérience riche en interactions et rebondissements.","Stratégie, Bluff, Draft de rôles, Construction de tableau, Interaction indirecte, Jeu de cartes","Médiéval, Intrigue, Fantaisie légère, Politique","Choisis un personnage secret chaque tour avec un pouvoir unique (assassin, roi, voleur...).

Construis des quartiers pour obtenir des points, en combinant ressources et pouvoirs.

Bluffe, anticipe et sabote les autres pour bâtir ta cité avant les autres.","14,95 €","11,99 €","https://www.philibertnet.com/fr/edge/45987-citadelles-edition-classique-8435407639126.html?search_query=citadelles&results=1000#img","https://www.amazon.fr/Edge-Entertainment-Citadelles-Classique-Multicolore/dp/B0BD923PRD/ref=sr_1_4?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6VMQYU2OD437&dib=eyJ2IjoiMSJ9.DaTiBGaDr5TcTLdflhlOYX_I2mcKZHHrq15RV54EWLfZoDZDk_Z8XxF0rwSqYM6sHxalDX1rHHITZdYDt1LQerOTBaZ-Ri0C6AdMuc-STL-wK-EgQYdUR1Yj2n660f_pgvqLhjAOTKac8hIqB09E8V7lyTm-GlJ1Ln9dQ2vetEZVHPub_DWGD0XoHe11nhOfxbNRVToRKBewcblco6ND2UEzWBTrUUIu9Tn4qt0_iIKTKzIFkwtbTzzoR05U7tzWF-XN4z7l47mdNXUfpqq6tRUzxP8GlbcedXIzqBLvlCU.pinwO1r3kgAcjiCfnh7a6SCKn6G8m8SafeCAAgL-EtU&dib_tag=se&keywords=citadelles&qid=1744482272&s=toys&sprefix=citadelles%2Ctoys%2C84&sr=1-4&th=1","7,1",""
"Bang!","Oui","Non","","30 mn","4","7","Dans Bang!, plongez dans l'ambiance du Far West où le shérif, ses adjoints, les hors-la-loi et un renégat s'affrontent dans une lutte sans merci. Chaque joueur incarne secrètement un rôle avec des objectifs spécifiques : le shérif doit éliminer les hors-la-loi et le renégat, les hors-la-loi cherchent à abattre le shérif, et le renégat vise à être le dernier survivant. À l'aide de cartes représentant des armes, des actions ou des équipements, les joueurs s'attaquent, se défendent et bluffent pour atteindre leur but.​","Rôles cachés, Bluff, Jeu de cartes, Stratégie légère, Interaction directe, Ambiance, Compétitif","Western, Far West, Duel, Pistoleros, Humoristique","Chaque joueur a un rôle secret avec un objectif (Shérif, hors-la-loi, adjoint, renégat).

Joue des cartes pour tirer, esquiver, utiliser des objets ou déclencher des effets.

Découvre qui est qui, coopère… ou trahis au bon moment !","19,95 €","26,81 €","https://www.philibertnet.com/fr/da-vinci/9742-bang-3558380005605.html?search_query=bang&results=45#img","https://www.amazon.fr/Asmodee-Soci%C3%A9t%C3%A9-Enfants-Univers-Fran%C3%A7aise/dp/B002BZVBQE/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=HXTEXUKHOM02&dib=eyJ2IjoiMSJ9.Gi-s6suhEtGrrmsbCgQbzXyDYx5rcrdmOqbHuRZ3VVQVoZUCKlbtccI2HAEOWSqljYeFk7J0pZQr5ffpC_BQPHizpauRdMb8oynSByUHU3IbfKdkrgexaMROyPxMaaY_Ur5bDAXR-lQ0_OAcsl2Gt4lC8QI31F3hhKb39Kx_ZGH5pvwgZm2gh-rLoAYnKrGSZ8-t6Rl-9KIfvy4nyJ6XpK8uhqEc2DqNEg0W-qEYzjlswoF2BoS6v9fC2kNOwve6KWTqPq0TCcwVWlq5B-2h-h6FdVOTGFPsG506aFu6Hss.UanaKB2byBFmrL7NTHNw3rsVfgHS7vyeW7kg9QRIHpc&dib_tag=se&keywords=bang&qid=1744482408&s=toys&sprefix=bang%2Ctoys%2C102&sr=1-2&th=1","6,5",""
"Kyudo","Oui","Non","","25 mn","2","4","Dans Kyudo, vous incarnez un archer participant à une compétition de tir à l'arc. Votre objectif est de remplir votre cible en cochant toutes les cases correspondantes, tout en conservant un maximum de spectateurs. Les spectateurs peuvent quitter votre tribune en fonction des exploits de vos adversaires, ajoutant une dimension stratégique et interactive au jeu.​","Roll & Write, Roll & Fight, Compétitif, Stratégie légère, Interaction directe, Gestion de ressources","Art martial japonais, Animaux anthropomorphes, Esthétique zen, Compétition sportive","Lance des dés pour cocher ta cible en suivant les effets spéciaux de ton archer.

Déclenche des compétences pour gêner tes adversaires ou accélérer ta progression.

Le premier à compléter sa cible sans perdre trop de spectateurs gagne.","24,90 €","30,97 €","https://www.philibertnet.com/fr/offline-edition/109756-kyudo-3760169094803.html","https://www.amazon.fr/Kyudo-soci%C3%A9t%C3%A9-Joueurs-Environ-Maublanc/dp/B0B1339MVH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.njEU3_dfEo8g0Ou6NMmfv24ayK8e5LcjlB_uL-1l3RgGfIP6nYpXMRbmJDFneMGSy9A7lffYy_ZF1rrsjkWlUq_qPA9DV7Jl6nVlJK4qzpFdppjmlQjPcj_K7EG4hu9BSstPNNogiPYJ6Phhe7pNdJObfa6R7yWOIMKtgvObm62ba1yM0ZlyLQCvTCATb5ja5xxzoFckj0tRz52nFkiEtyXJGHuwLG4x_1r7q2LUDlikmKYQncOKeqWyUn6O8JLc1Fp04txeiEf139ytpe9e59NOLaY40wJsPAsQiKq8-Os.SmwUxN9nUdKpy66gbLC5FbY76wvnEuVZsvx_8wfpgnk&dib_tag=se&keywords=kyudo&qid=1744482652&sr=8-5","6,6",""
